Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,69.8,0
No,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,75.9,0
Yes,23,Yes,Yes,DSL,Yes,Yes,Two year,Yes,91.1,0
No,17,Yes,No,Fiber optic,No,No,Month-to-month,No,78.9,0
No,48,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.25,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,24.45,1
No,55,No,No,Fiber optic,Yes,No,Month-to-month,Yes,77.75,1
No,1,No,No,DSL,No,No,Month-to-month,No,45.1,1
No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.5,0
No,1,No,No,DSL,No,Yes,Month-to-month,Yes,49.9,0
Yes,43,Yes,No,DSL,No,Yes,One year,Yes,71.9,0
No,3,No,No,Fiber optic,Yes,No,Month-to-month,No,75.05,0
No,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.75,0
No,8,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.5,1
No,53,No,No,Fiber optic,No,Yes,One year,Yes,91.15,0
No,23,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.75,0
No,42,Yes,No,Fiber optic,Yes,No,One year,Yes,105.2,0
No,15,No,No,Fiber optic,Yes,No,Month-to-month,Yes,84.3,1
Yes,1,No,No,Fiber optic,No,No,Month-to-month,No,69.75,1
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,65.7,0
Yes,56,Yes,Yes,DSL,No,No,One year,No,68.75,0
No,48,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,102.5,0
No,39,Yes,Yes,DSL,No,Yes,One year,Yes,40.3,0
No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,84.75,1
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,95.2,1
No,70,No,Yes,DSL,Yes,Yes,Two year,Yes,75.5,0
Yes,70,Yes,Yes,DSL,No,Yes,Two year,No,66.0,0
No,53,Yes,Yes,DSL,Yes,Yes,One year,Yes,53.6,0
No,28,Yes,No,DSL,No,Yes,One year,No,54.35,0
No,20,No,No,Fiber optic,No,No,Month-to-month,No,71.3,1
No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,76.5,1
Yes,30,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.3,0
No,25,No,No,Fiber optic,Yes,Yes,Two year,No,99.3,0
Yes,34,No,No,Fiber optic,No,No,Month-to-month,No,78.3,1
No,10,No,No,Fiber optic,No,No,Month-to-month,No,86.45,1
No,8,No,No,DSL,No,No,Month-to-month,Yes,45.15,1
Yes,65,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,85.75,0
No,30,Yes,Yes,DSL,Yes,Yes,One year,No,85.35,1
Yes,17,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,66.7,0
Yes,62,Yes,No,DSL,Yes,Yes,One year,No,71.4,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,95.15,1
Yes,59,Yes,No,DSL,Yes,Yes,Two year,Yes,76.45,0
No,2,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.45,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.6,1
No,7,No,No,DSL,Yes,Yes,One year,Yes,35.5,0
No,5,No,No,Fiber optic,Yes,No,Month-to-month,Yes,75.55,1
No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,1
No,49,No,Yes,Fiber optic,No,Yes,One year,Yes,106.65,0
No,44,Yes,No,DSL,No,Yes,One year,No,65.4,0
Yes,24,No,No,Fiber optic,Yes,No,Two year,Yes,96.55,0
No,8,No,No,Fiber optic,No,No,Month-to-month,No,84.5,1
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,64.8,0
No,4,Yes,No,Fiber optic,No,No,Month-to-month,Yes,99.6,1
No,56,No,Yes,Fiber optic,Yes,No,One year,Yes,106.8,0
No,32,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,0
No,19,No,Yes,DSL,No,No,Month-to-month,Yes,39.7,0
Yes,54,No,Yes,DSL,No,Yes,One year,Yes,70.7,0
No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.15,0
No,39,Yes,No,Fiber optic,Yes,Yes,One year,Yes,104.7,1
No,49,No,Yes,Fiber optic,Yes,No,Month-to-month,No,99.4,0
No,65,Yes,Yes,DSL,No,Yes,Two year,Yes,59.6,0
No,15,No,No,Fiber optic,Yes,No,Month-to-month,Yes,101.1,1
No,1,No,Yes,Fiber optic,No,No,Month-to-month,Yes,73.0,1
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,81.1,1
Yes,67,No,Yes,Fiber optic,Yes,Yes,One year,Yes,112.35,0
No,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,76.65,1
No,72,No,Yes,DSL,Yes,Yes,Two year,No,77.35,0
Yes,50,Yes,Yes,DSL,Yes,Yes,One year,Yes,80.05,0
No,11,No,No,Fiber optic,No,No,Month-to-month,Yes,84.8,1
Yes,1,Yes,No,DSL,No,No,Month-to-month,Yes,48.75,0
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.25,0
Yes,65,Yes,No,Fiber optic,Yes,Yes,Two year,No,109.3,0
No,24,No,Yes,DSL,Yes,No,Month-to-month,Yes,54.15,1
Yes,17,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.15,0
No,18,Yes,No,Fiber optic,No,No,Month-to-month,Yes,96.05,1
Yes,54,No,Yes,Fiber optic,No,Yes,Two year,Yes,79.95,0
No,17,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.65,0
Yes,30,No,Yes,DSL,Yes,Yes,Two year,No,80.8,0
No,27,Yes,No,DSL,No,No,Month-to-month,No,30.75,1
No,49,Yes,No,Fiber optic,No,No,Month-to-month,No,101.55,0
Yes,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.65,0
No,37,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.05,0
Yes,2,No,No,Fiber optic,No,No,Month-to-month,Yes,89.55,1
Yes,39,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.35,0
No,9,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.85,0
Yes,30,No,No,Fiber optic,Yes,No,One year,No,86.45,0
No,57,No,No,DSL,Yes,Yes,One year,Yes,53.5,0
Yes,65,Yes,Yes,DSL,No,No,Two year,Yes,69.55,0
No,31,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,87.6,0
No,72,No,Yes,Fiber optic,Yes,Yes,Two year,No,109.7,0
No,20,No,No,Fiber optic,No,No,Month-to-month,Yes,81.45,0
Yes,6,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.1,0
Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,68.5,1
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.05,1
No,40,No,Yes,Fiber optic,No,No,Month-to-month,No,74.8,0
No,9,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.45,1
No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,109.55,0
No,12,No,Yes,Fiber optic,No,No,Month-to-month,Yes,84.6,0
No,53,Yes,No,DSL,Yes,Yes,One year,No,77.4,0
No,23,No,Yes,DSL,Yes,No,One year,No,55.8,0
No,9,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.9,0
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.4,0
No,68,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.3,1
No,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.75,1
Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,No,74.5,0
Yes,25,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,0
No,8,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,94.0,1
No,39,No,Yes,Fiber optic,No,No,One year,No,81.4,0
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,69.85,0
No,39,No,No,DSL,Yes,No,Month-to-month,Yes,50.75,1
No,20,No,No,DSL,No,No,Month-to-month,Yes,61.6,1
No,18,No,No,DSL,No,No,Month-to-month,No,25.15,0
Yes,50,Yes,Yes,DSL,No,No,One year,Yes,43.05,0
No,14,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.4,0
No,26,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,95.0,1
Yes,58,Yes,Yes,DSL,Yes,No,One year,No,50.0,0
Yes,53,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,0
Yes,1,No,No,DSL,No,No,Month-to-month,No,44.55,0
No,70,Yes,Yes,DSL,Yes,Yes,Two year,Yes,88.55,0
Yes,50,Yes,No,DSL,No,No,Month-to-month,Yes,39.45,0
No,69,Yes,Yes,DSL,No,No,Two year,No,56.55,0
Yes,71,Yes,No,DSL,No,No,One year,Yes,66.2,0
No,22,No,No,Fiber optic,Yes,No,Month-to-month,Yes,87.0,0
No,35,No internet service,No internet service,No,No internet service,No internet service,Two year,No,23.3,0
No,13,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.95,0
No,27,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.3,0
No,71,No,No,DSL,Yes,Yes,Two year,Yes,47.05,0
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.25,0
No,1,No,Yes,DSL,No,No,Month-to-month,No,50.8,1
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.4,0
No,66,No internet service,No internet service,No,No internet service,No internet service,One year,No,25.45,0
No,16,No,Yes,DSL,No,Yes,Month-to-month,Yes,53.9,1
Yes,32,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,76.3,0
Yes,72,No,Yes,Fiber optic,Yes,No,Two year,Yes,103.4,1
No,2,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.55,1
No,41,No,Yes,DSL,No,No,Month-to-month,Yes,40.35,0
No,70,No,Yes,Fiber optic,Yes,No,One year,Yes,104.8,0
No,54,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,111.1,1
Yes,61,No,Yes,Fiber optic,Yes,Yes,One year,No,103.9,0
Yes,58,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.5,0
No,1,No,No,DSL,Yes,Yes,Month-to-month,No,35.9,0
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,92.65,0
Yes,54,No,Yes,DSL,No,No,Month-to-month,Yes,55.0,1
No,42,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.25,1
No,24,No,No,Fiber optic,No,No,Month-to-month,Yes,90.35,1
No,17,No,No,Fiber optic,No,No,Month-to-month,Yes,94.8,0
No,7,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.05,1
No,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,0
No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.55,0
No,54,No,No,Fiber optic,Yes,No,One year,Yes,94.1,0
No,9,No,No,Fiber optic,No,No,Month-to-month,No,89.45,1
No,43,No,Yes,Fiber optic,No,No,Month-to-month,Yes,101.0,1
No,35,Yes,No,DSL,Yes,Yes,One year,Yes,85.95,1
Yes,22,No,No,DSL,Yes,No,One year,Yes,49.45,0
Yes,51,Yes,No,DSL,No,Yes,Two year,No,34.2,0
No,28,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.5,1
No,40,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,93.4,0
No,20,Yes,No,DSL,No,Yes,One year,Yes,64.15,0
No,9,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,0
No,29,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,68.85,1
No,2,Yes,No,DSL,No,No,Month-to-month,Yes,49.25,1
Yes,72,Yes,No,DSL,Yes,Yes,Two year,No,48.9,0
No,8,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.05,0
No,1,No,No,DSL,No,No,Month-to-month,No,45.3,1
No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.0,0
Yes,22,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,89.4,1
Yes,57,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.1,0
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,75.05,1
No,35,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,0
Yes,49,No,Yes,DSL,No,Yes,Two year,No,79.3,0
Yes,47,No,Yes,Fiber optic,No,No,Month-to-month,No,87.2,0
No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,94.2,1
Yes,19,Yes,No,DSL,No,No,One year,Yes,48.95,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,86.85,1
No,27,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.6,0
No,4,Yes,No,DSL,Yes,Yes,Month-to-month,No,48.25,0
Yes,55,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.15,0
No,36,No,No,Fiber optic,No,No,Month-to-month,Yes,84.9,1
Yes,61,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.4,0
No,21,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.5,0
Yes,52,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,85.8,0
No,13,No,No,Fiber optic,No,No,Month-to-month,Yes,82.0,1
No,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,84.4,1
Yes,17,Yes,No,Fiber optic,No,Yes,Month-to-month,No,91.85,1
No,66,Yes,Yes,DSL,Yes,No,Two year,No,66.9,0
Yes,2,No,No,Fiber optic,Yes,Yes,Month-to-month,No,90.0,1
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.75,0
No,5,Yes,No,DSL,No,Yes,Month-to-month,Yes,64.35,0
No,9,Yes,No,Fiber optic,No,No,Month-to-month,Yes,74.85,0
No,56,No,Yes,DSL,No,Yes,One year,Yes,75.75,0
No,58,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.8,0
Yes,3,No,No,Fiber optic,No,No,Month-to-month,Yes,80.7,0
Yes,58,No,Yes,Fiber optic,No,No,Month-to-month,Yes,92.85,0
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.85,0
No,17,No,Yes,Fiber optic,No,No,Month-to-month,Yes,83.55,0
No,1,No,No,DSL,No,No,Month-to-month,No,50.75,0
No,57,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,87.55,0
Yes,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,1
No,65,Yes,Yes,Fiber optic,No,No,Two year,Yes,92.7,0
No,67,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,105.05,0
No,65,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,107.65,0
No,15,No,No,DSL,No,No,Month-to-month,No,48.85,0
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,112.6,0
Yes,64,Yes,No,DSL,No,Yes,One year,No,65.8,0
No,28,Yes,Yes,DSL,No,No,Month-to-month,No,56.05,0
No,16,No,No,DSL,No,Yes,Month-to-month,No,59.4,1
No,56,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,105.35,0
Yes,64,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,86.8,0
No,1,No,No,Fiber optic,No,No,Month-to-month,No,69.1,1
No,11,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,0
No,58,No,Yes,Fiber optic,No,No,One year,Yes,97.8,0
Yes,54,No,Yes,Fiber optic,No,Yes,One year,Yes,105.2,0
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,94.7,1
Yes,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,97.95,1
No,9,No,No,DSL,No,No,Month-to-month,Yes,34.7,1
No,64,No,Yes,DSL,No,Yes,Month-to-month,Yes,43.85,0
No,15,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,83.05,1
No,52,Yes,No,DSL,Yes,Yes,One year,No,74.0,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,74.9,0
Yes,10,No,No,DSL,Yes,No,Month-to-month,No,60.2,0
No,8,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.2,0
No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,68.65,0
Yes,24,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.8,0
No,31,No,No,Fiber optic,No,No,Month-to-month,Yes,73.9,1
Yes,56,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,109.6,0
No,3,No,No,DSL,No,No,Month-to-month,Yes,45.35,1
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,94.75,1
No,45,No,No,DSL,Yes,No,Month-to-month,Yes,50.25,0
Yes,1,No,No,DSL,No,No,Month-to-month,No,24.2,0
No,21,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,99.15,0
No,9,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,91.75,1
Yes,15,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,69.5,0
No,2,Yes,No,DSL,Yes,No,Month-to-month,Yes,55.1,1
Yes,71,No,Yes,Fiber optic,Yes,No,Two year,Yes,106.0,1
No,72,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,110.1,0
No,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,90.05,1
Yes,12,No,No,DSL,No,No,Month-to-month,Yes,44.55,1
Yes,55,Yes,Yes,DSL,No,No,Month-to-month,No,55.7,0
No,24,Yes,No,DSL,No,No,Month-to-month,Yes,51.15,0
No,11,No,No,Fiber optic,Yes,No,Month-to-month,No,84.8,0
No,26,No,Yes,Fiber optic,No,No,One year,No,75.5,0
No,16,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.55,0
No,71,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,108.6,1
No,4,No,No,DSL,No,No,Month-to-month,Yes,25.15,0
No,66,No,No,Fiber optic,Yes,No,One year,Yes,92.15,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,49.8,0
No,11,No,No,DSL,Yes,No,Month-to-month,No,53.75,1
No,6,No,Yes,Fiber optic,No,No,Month-to-month,Yes,84.2,1
Yes,25,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.4,0
No,19,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.9,0
No,37,Yes,No,Fiber optic,Yes,Yes,One year,Yes,99.2,1
No,28,Yes,No,DSL,No,Yes,One year,No,54.3,0
No,19,No,No,Fiber optic,Yes,Yes,Month-to-month,No,89.95,0
Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,No,87.25,0
No,53,No,Yes,DSL,Yes,No,Month-to-month,Yes,54.45,1
No,68,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,110.8,0
Yes,21,No,No,DSL,No,No,Month-to-month,Yes,44.95,0
No,21,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.35,0
Yes,11,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.0,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.85,1
No,7,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,100.4,0
Yes,41,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.0,0
No,48,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,107.4,1
No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,82.3,0
No,71,No,Yes,Fiber optic,Yes,No,Two year,Yes,105.15,0
Yes,68,No,No,DSL,Yes,Yes,Two year,Yes,72.95,0
Yes,67,No,Yes,DSL,No,No,One year,No,50.55,0
Yes,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.5,0
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.65,0
No,17,Yes,No,DSL,Yes,No,Month-to-month,No,34.4,0
Yes,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,0
No,70,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.55,0
Yes,47,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.55,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,69.8,1
No,10,No,No,DSL,No,No,Month-to-month,Yes,44.85,1
No,62,No,No,Fiber optic,Yes,No,Month-to-month,Yes,101.35,0
Yes,13,Yes,No,Fiber optic,No,No,Month-to-month,No,84.05,1
No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.35,0
No,68,No,Yes,Fiber optic,Yes,Yes,Two year,No,90.2,0
Yes,20,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.05,0
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.65,0
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,84.05,0
No,3,No,No,DSL,No,No,Month-to-month,Yes,46.1,0
No,60,No,Yes,Fiber optic,No,No,Month-to-month,Yes,89.9,0
No,54,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.5,1
No,2,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,95.1,1
No,2,No,No,DSL,No,No,Month-to-month,Yes,45.15,1
Yes,9,Yes,No,DSL,No,No,One year,No,48.6,0
Yes,70,Yes,Yes,DSL,Yes,Yes,One year,No,74.1,0
No,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.25,0
No,47,No internet service,No internet service,No,No internet service,No internet service,One year,No,26.9,0
No,70,Yes,Yes,Fiber optic,Yes,Yes,One year,No,115.65,1
No,7,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,78.5,0
No,25,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.2,0
No,12,Yes,No,DSL,No,Yes,One year,Yes,33.6,0
No,29,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,84.45,1
No,6,Yes,Yes,DSL,No,No,Month-to-month,No,56.25,1
Yes,40,No,No,Fiber optic,No,No,Month-to-month,Yes,94.55,1
No,26,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,98.65,0
No,50,No,No,DSL,Yes,No,One year,No,75.7,0
No,67,Yes,No,DSL,Yes,Yes,One year,Yes,49.35,0
No,39,No,No,DSL,No,Yes,Month-to-month,Yes,40.6,0
Yes,71,Yes,Yes,DSL,Yes,Yes,Two year,No,90.4,0
Yes,65,Yes,Yes,DSL,Yes,Yes,Two year,No,91.55,0
No,51,No internet service,No internet service,No,No internet service,No internet service,One year,No,25.0,0
No,72,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,111.9,0
No,29,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,98.8,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,35.55,1
No,65,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,99.35,0
No,9,No,No,DSL,No,Yes,Month-to-month,Yes,59.5,0
Yes,68,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,105.25,0
No,31,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.9,1
Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,94.55,0
Yes,36,No,Yes,Fiber optic,No,No,Month-to-month,Yes,94.7,0
No,2,No,No,DSL,No,No,Month-to-month,Yes,44.6,1
Yes,45,No,Yes,DSL,Yes,No,One year,No,78.75,0
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,115.15,0
Yes,52,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,84.05,0
Yes,17,No,Yes,DSL,Yes,Yes,One year,No,80.85,0
Yes,51,No,No,DSL,No,Yes,One year,No,47.85,0
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.3,0
Yes,45,No,Yes,DSL,No,Yes,One year,Yes,54.15,1
Yes,5,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,0
Yes,36,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,104.5,0
Yes,15,Yes,No,Fiber optic,No,Yes,One year,No,101.9,0
Yes,46,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.95,0
No,55,No,No,Fiber optic,No,No,Month-to-month,Yes,96.8,1
No,16,No internet service,No internet service,No,No internet service,No internet service,Two year,No,18.95,0
No,72,Yes,Yes,DSL,No,Yes,Two year,No,64.75,0
Yes,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.45,0
No,66,Yes,Yes,DSL,Yes,No,Two year,Yes,66.1,0
No,24,Yes,No,DSL,No,No,Month-to-month,Yes,55.65,1
No,3,No,No,Fiber optic,Yes,No,Month-to-month,Yes,101.55,1
No,29,No,Yes,DSL,No,Yes,Month-to-month,No,34.3,0
No,28,No,Yes,Fiber optic,Yes,No,Month-to-month,No,89.9,0
Yes,46,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.25,0
Yes,24,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.1,0
No,40,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.1,0
No,1,No,No,DSL,No,No,Month-to-month,Yes,35.45,1
No,2,No,Yes,DSL,No,No,Month-to-month,Yes,54.4,1
Yes,34,No,No,DSL,Yes,No,One year,No,77.2,0
Yes,72,No,Yes,DSL,Yes,Yes,Two year,Yes,60.0,0
No,59,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,94.05,0
Yes,39,Yes,No,DSL,Yes,Yes,One year,No,80.0,1
No,42,Yes,Yes,DSL,No,Yes,One year,Yes,67.7,0
Yes,34,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.6,1
No,38,No,No,Fiber optic,No,No,One year,Yes,89.1,0
No,9,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.5,1
No,22,No,Yes,DSL,No,No,Month-to-month,Yes,50.35,0
No,17,No,No,DSL,No,No,Month-to-month,Yes,45.05,1
Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,93.3,1
No,57,No,Yes,DSL,Yes,Yes,Two year,No,69.75,0
No,1,No,Yes,Fiber optic,No,No,Month-to-month,No,75.8,1
Yes,63,Yes,Yes,DSL,Yes,Yes,Two year,No,75.55,0
Yes,47,Yes,Yes,DSL,No,Yes,Two year,Yes,85.3,0
No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,80.0,1
Yes,67,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,108.75,1
No,69,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,112.55,0
No,33,No,Yes,DSL,No,Yes,One year,Yes,53.75,0
No,12,No,No,Fiber optic,No,No,Month-to-month,Yes,96.05,1
No,66,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,103.1,0
No,1,Yes,No,Fiber optic,No,No,Month-to-month,Yes,95.6,1
Yes,26,Yes,Yes,DSL,No,Yes,Month-to-month,No,38.85,0
No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.2,1
Yes,71,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.45,0
Yes,65,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.45,0
Yes,64,No,Yes,DSL,No,Yes,Two year,Yes,54.6,0
Yes,65,No,No,Fiber optic,Yes,Yes,One year,Yes,103.9,0
No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,84.1,0
Yes,12,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.1,0
No,3,No,Yes,DSL,No,No,Month-to-month,Yes,50.6,1
No,38,Yes,Yes,Fiber optic,No,No,One year,Yes,104.85,0
No,31,No,No,Fiber optic,No,Yes,Month-to-month,Yes,79.85,1
